index,cidade_india,data,tipo_cartao,tipo_despesa,genero_titular,valor
0,Delhi,2014-10-29,Gold,contas,F,82475
1,Greater Mumbai,2014-08-22,Platinum,contas,F,32555
2,Bengaluru,2014-08-27,Silver,contas,F,101738
3,Greater Mumbai,2014-04-12,Signature,contas,F,123424
4,Bengaluru,2015-05-05,Gold,contas,F,171574
5,Delhi,2014-09-08,Silver,contas,F,100036
6,Delhi,2015-02-24,Gold,contas,F,143250
7,Greater Mumbai,2014-06-26,Platinum,contas,F,150980
8,Delhi,2014-03-28,Silver,contas,F,192247
9,Delhi,2014-09-01,Platinum,contas,F,67932
10,Delhi,2014-06-22,Platinum,contas,F,280061
11,Greater Mumbai,2013-12-07,Signature,contas,F,278036
12,Greater Mumbai,2014-08-07,Gold,contas,F,19226
13,Delhi,2014-04-27,Signature,contas,F,254359
14,Greater Mumbai,2014-08-15,Signature,contas,F,302834
15,Greater Mumbai,2014-11-28,Platinum,contas,F,647116
16,Greater Mumbai,2014-06-14,Signature,contas,F,421878
17,Greater Mumbai,2015-03-30,Gold,contas,F,986379
18,Greater Mumbai,2014-03-15,Platinum,contas,F,213047
19,Greater Mumbai,2013-11-09,Platinum,contas,F,735566
20,Delhi,2014-04-04,Signature,contas,F,366102
21,Delhi,2014-07-01,Signature,contas,F,809623
22,Greater Mumbai,2015-03-27,Silver,contas,F,467014
23,Ahmedabad,2013-10-11,Gold,contas,F,668568
24,Ahmedabad,2014-03-26,Gold,contas,F,339112
25,Delhi,2014-09-27,Silver,contas,F,622170
26,Bengaluru,2014-03-23,Platinum,contas,F,434427
27,Greater Mumbai,2014-05-17,Signature,contas,F,655846
28,Bengaluru,2015-01-18,Platinum,contas,F,987935
29,Delhi,2015-04-18,Gold,contas,F,702774
30,Bengaluru,2014-07-31,Signature,contas,F,225392
31,Greater Mumbai,2015-02-11,Gold,contas,F,296573
32,Ahmedabad,2013-11-24,Platinum,contas,F,227702
33,Ahmedabad,2014-11-08,Gold,contas,F,864090
34,Ahmedabad,2014-09-06,Signature,contas,F,440605
35,Ahmedabad,2015-03-24,Platinum,contas,F,954660
36,Ahmedabad,2014-01-01,Signature,contas,F,255577
37,Ahmedabad,2014-07-12,Silver,contas,F,337352
38,Ahmedabad,2014-02-04,Platinum,contas,F,660244
39,Delhi,2015-02-03,Silver,contas,F,401351
40,Delhi,2013-10-27,Platinum,contas,F,678842
41,Delhi,2014-05-11,Gold,contas,F,478861
42,Bengaluru,2014-11-10,Platinum,contas,F,804938
43,Delhi,2015-01-30,Silver,contas,F,888341
44,Bengaluru,2014-04-19,Platinum,contas,F,262414
45,Bengaluru,2014-09-08,Gold,contas,F,249353
46,Ahmedabad,2013-12-10,Gold,contas,F,892016
47,Ahmedabad,2013-11-04,Platinum,contas,F,313626
48,Greater Mumbai,2014-06-01,Gold,contas,F,314366
49,Greater Mumbai,2014-04-27,Signature,contas,F,551340
50,Delhi,2013-10-04,Signature,contas,F,735037
51,Greater Mumbai,2014-12-31,Platinum,contas,F,574023
52,Ahmedabad,2013-12-21,Signature,contas,F,402300
53,Delhi,2013-12-07,Signature,contas,F,733125
54,Greater Mumbai,2014-02-07,Signature,contas,F,545977
55,Bengaluru,2015-05-13,Silver,contas,F,371572
56,Ahmedabad,2015-01-28,Signature,contas,F,326283
57,Delhi,2014-12-09,Platinum,contas,F,279051
58,Delhi,2013-10-08,Platinum,contas,F,900101
59,Ahmedabad,2014-04-24,Silver,contas,F,545286
